user_id,session_id,event_time,event_name,country,source,device,plan_type,revenue
U01929,U01929_S1,2026-01-16 02:38:00,email_verified,Indonesia,referral,desktop,free,0
U01176,U01176_S4,2026-01-23 06:24:00,onboarding_completed,China,social,mobile,free,0
U01688,U01688_S1,2026-01-02 01:42:00,signup,France,organic,mobile,free,0
U01567,U01567_S2,2026-01-12 00:50:00,signup,Indonesia,ads,desktop,free,0
U00570,U00570_S2,2026-01-28 00:15:00,sign_up,UK,referral,mobile,free,0
U00091,U00091_S2,2026-01-02 03:06:00,onboarding_completed,US,ads,mobile,free,0
U01584,U01584_S1,2026-01-21 04:28:00,onboarding_completed,France,referral,mobile,free,0
U02746,U02746_S2,2026-01-22 01:49:00,onboarding_started,India,ads,Mobile,free,0
U02553,U02553_S1,2026-01-22 05:08:00,onboarding_completed,India,social,desktop,free,0
U01102,U01102_S2,2026-01-25 01:08:00,onboarding_started,Australia,ads,mobile,free,0
U00829,U00829_S1,2026-01-10 00:30:00,signup,Indonesia,referral,desktop,free,0
U00690,U00690_S3,2026-01-25 04:49:00,onboarding_started,US,organic,mobile,free,0
U02660,U02660_S1,2026-01-13 03:41:00,onboarding_started,Indonesia,ads,desktop,free,0
U00569,U00569_S1,2026-01-24 01:39:00,signup,Australia,referral,mobile,free,0
U01032,U01032_S2,2026-01-20 04:15:00,onboarding_completed,China,ads,mobile,free,0
U02646,U02646_S2,2026-01-29 04:12:00,onboarding_started,UK,ads,Mobile,free,0
U01313,U01313_S1,2026-01-23 03:52:00,onboarding_completed,China,organic,mobile,free,0
U01359,U01359_S1,2026-01-09 01:39:00,signup,USA,ads,mobile,free,0
U00995,U00995_S2,2026-01-16 01:26:00,email_verified,UK,ads,desktop,free,0
U01362,U01362_S1,2026-01-20 04:06:00,onboarding_started,US,ads,mobile,free,0
U00007,U00007_S3,2026-01-14 04:10:00,onboarding_started,US,social,mobile,free,0
U01355,U01355_S1,2026-01-27 03:07:00,onboarding_completed,France,ads,mobile,free,0
U02984,U02984_S3,2026-01-22 02:29:00,email_verified,India,organic,mobile,free,0
U00895,U00895_S2,2026-01-05 02:25:00,email_verified,,referral,mobile,free,0
U02069,U02069_S2,2026-01-19 01:18:00,signup,US,social,mobile,free,0
U01104,U01104_S1,2026-01-22 01:31:00,signup,Australia,organic,desktop,free,0
U00977,U00977_S3,2026-01-11 02:52:00,onboarding_started,China,ads,desktop,free,0
U00796,U00796_S1,2026-01-28 02:52:00,email_verified,India,ads,mobile,free,0
U01544,U01544_S2,2026-01-02 01:52:00,email_verified,UK,ads,tablet,free,0
U00257,U00257_S1,2026-01-14 01:58:00,email_verified,Australia,ads,desktop,free,0
U00530,U00530_S1,2026-01-01 01:38:00,signup,India,ads,desktop,free,0
U00685,U00685_S5,2026-01-24 03:52:00,onboarding_completed,Australia,ads,desktop,free,0
U00778,U00778_S2,2026-01-04 01:03:00,signup,Indonesia,ads,mobile,free,0
U01436,U01436_S2,2026-01-05 03:29:00,onboarding_completed,US,ads,Mobile,free,0
U01670,U01670_S2,2026-01-11 03:01:00,email_verified,Indnesia,ads,mobile,free,0
U02558,U02558_S2,2026-01-17 01:04:00,signup,UK,referral,mobile,free,0
U02881,U02881_S1,2026-01-10 00:53:00,signup,UK,ads,mobile,free,0
U02599,U02599_S2,2026-01-04 01:12:00,email_verified,UK,ads,mobile,free,0
U01283,U01283_S1,2026-01-19 02:54:00,email_verified,China,ads,mobile,free,0
U00183,U00183_S2,2026-01-21 02:13:00,onboarding_started,Australia,ads,mobile,free,0
U02586,U02586_S1,2026-01-20 00:18:00,signup,Indonesia,organic,mobile,free,0
U01671,U01671_S1,2026-01-22 02:34:00,email_verified,UK,ads,desktop,free,0
U01955,U01955_S2,2026-01-02 03:19:00,trial_started,Australia,ads,desktop,free,0
U01647,U01647_S2,2026-01-24 03:11:00,onboarding_completed,US,ads,mobile,free,0
U00762,U00762_S3,2026-01-17 02:40:00,onboarding_completed,UK,referral,mobile,free,0
U00511,U00511_S2,2026-01-14 04:47:00,onboarding_completed,Indonesia,ads,mobile,free,0
U00978,U00978_S2,2026-01-03 00:13:00,signup,US,ads,desktop,free,0
U01780,U01780_S2,2026-01-29 04:49:00,onboarding_completed,India,ads,mobile,free,0
U02852,U02852_S1,2026-01-18 02:53:00,email_verified,US,social,mobile,free,0
U00780,U00780_S1,2026-01-24 01:09:00,signup,Indonesia,referral,mobile,free,0
U01177,U01177_S3,2026-01-30 04:58:00,onboarding_started,India,ads,tablet,free,0
U02660,U02660_S2,2026-01-13 05:16:00,trial_started,Indonesia,ads,desktop,free,0
U01306,U01306_S1,2026-01-01 03:53:00,onboarding_started,India,organic,desktop,free,0
U02668,U02668_S2,2026-01-24 02:51:00,onboarding_started,Indonesia,referral,,free,0
U02300,U02300_S3,2026-01-20 02:34:00,onboarding_started,UK,organic,desktop,free,0
U01737,U01737_S2,2026-01-14 01:39:00,email_verified,France,ads,desktop,free,0
U02069,U02069_S3,2026-01-19 02:01:00,onboarding_started,US,social,mobile,free,0
U00056,U00056_S1,2026-01-30 02:05:00,signup,Australia,social,mobile,free,0
U00563,U00563_S2,2026-01-19 01:58:00,email_verified,US,organic,,free,0
U02177,U02177_S2,2026-01-26 02:15:00,onboarding_started,UK,referral,mobile,free,0
U01746,U01746_S1,2026-01-23 01:51:00,email_verified,France,organic,mobile,free,0
U01596,U01596_S1,2026-01-21 00:56:00,signup,USA,ads,tablet,free,0
U01017,U01017_S3,2026-01-02 04:29:00,onboarding_started,US,referral,mobile,free,0
U02128,U02128_S3,2026-01-13 03:56:00,onboarding_started,US,ads,desktop,free,0
U01022,U01022_S3,2026-01-10 03:52:00,onboarding_started,UK,ads,desktop,free,0
U00595,U00595_S2,2026-01-09 02:05:00,email_verified,India,ads,desktop,free,0
U00340,U00340_S1,2026-01-07 00:42:00,email_verified,US,ads,mobile,free,0
U00609,U00609_S1,2026-01-04 01:13:00,signup,China,social,desktop,free,0
U00319,U00319_S2,2026-01-26 02:35:00,onboarding_started,US,referral,desktop,free,0
U01418,U01418_S1,2026-01-29 03:29:00,onboarding_started,US,organic,mobile,free,0
U02605,U02605_S3,2026-01-26 03:46:00,onboarding_started,US,organic,mobile,free,0
U00728,U00728_S2,2026-01-14 01:39:00,signup,India,organic,mobile,free,0
U00804,U00804_S2,2026-01-27 00:44:00,onboarding_started,Indonesia,social,Mobile,free,0
U00400,U00400_S1,2026-01-09 04:19:00,onboarding_completed,India,ads,desktop,free,0
U00859,U00859_S1,2026-01-20 03:35:00,onboarding_started,China,ads,desktop,free,0
U02274,U02274_S1,2026-01-05 01:04:00,sign_up,Indonesia,referral,mobile,free,0
U00949,U00949_S1,2026-01-27 01:59:13,signup,India,organic,desktop,free,0
U01291,U01291_S2,2026-01-14 05:54:00,onboarding_completed,UK,ads,,free,0
U00640,U00640_S1,2026-01-19 02:59:16,email_verified,UK,ads,mobile,free,0
U02751,U02751_S1,2026-01-28 02:54:00,onboarding_started,UK,ads,desktop,free,0
U00954,U00954_S1,2026-01-29 01:31:00,email_verified,Australia,organic,mobile,free,0
U02341,U02341_S1,2026-01-19 00:32:00,signup,India,referral,desktop,free,0
